Name,Class,Role,Tier,Win %,Role %,Pick %,Ban %,KDA
Shaco,Assassin,SUPPORT,4,50.11,13.61,0.97,15.81,2.37
Shen,,TOP,1,52.13,86.69,4.79,0.95,3.03
Shyvana,Fighter,TOP,4,51.45,13.71,0.22,0.30,2.04
Shyvana,Fighter,JUNGLE,4,51.33,80.18,1.37,0.28,2.55
Singed,Tank,MID,2,55.15,19.51,0.50,0.61,2.83
Singed,Tank,TOP,3,51.45,69.62,1.88,0.61,2.03
Sion,Tank,TOP,2,50.46,82.93,4.16,1.20,1.67
Sivir,Marksman,ADC,3,50.34,98.06,5.34,0.69,2.48
Skarner,Fighter,JUNGLE,4,52.15,78.37,0.76,0.15,2.75
Skarner,Fighter,TOP,4,49.96,19.16,0.17,0.14,2.27
Sona,Support,SUPPORT,1,53.03,97.61,4.29,0.27,2.99
Soraka,Support,SUPPORT,1,50.99,96.45,5.78,2.48,2.79
Swain,Mage,SUPPORT,2,51.66,52.30,3.85,3.73,2.44
Swain,Mage,MID,2,52.37,32.41,2.02,3.73,2.77
Sylas,Mage,JUNGLE,0,49.50,50.53,8.73,22.96,2.52
Sylas,,MID,0,49.61,43.68,7.47,22.96,2.17
Syndra,Mage,MID,1,49.65,92.20,6.20,3.80,2.31
Tahm Kench,Support,TOP,3,49.25,67.79,1.79,0.79,2.37
Tahm Kench,Support,SUPPORT,5,47.63,23.21,0.55,0.79,2.34
Taliyah,Mage,MID,3,51.08,51.06,1.31,0.40,
Taliyah,Mage,JUNGLE,5,48.44,37.26,0.96,0.40,2.59
Talon,Assassin,MID,3,49.85,72.24,3.37,1.31,2.23
Talon,Assassin,JUNGLE,5,,24.53,1.22,1.31,2.48
Taric,Support,SUPPORT,3,52.44,89.17,1.74,0.31,2.78
Teemo,Marksman,TOP,2,49.99,74.21,3.76,6.30,1.75
Thresh,Support,SUPPORT,1,50.08,98.52,8.93,2.14,2.64
Tristana,Marksman,ADC,2,51.38,79.18,7.86,3.71,2.4
Tristana,Marksman,MID,3,52.62,17.85,1.45,3.71,
Trundle,Fighter,JUNGLE,5,48.01,70.33,1.42,0.90,2.59
Trundle,Fighter,TOP,5,48.85,23.42,0.44,0.93,1.63
Tryndamere,Fighter,TOP,3,49.18,75.26,2.57,2.44,1.8
Tryndamere,Fighter,MID,3,52.21,16.88,0.55,2.44,2.17
Twisted Fate,Mage,,3,49.29,92.30,2.72,0.20,2.44
Twitch,Marksman,ADC,2,51.29,59.66,,11.24,2.45
Twitch,Marksman,SUPPORT,4,48.59,30.03,2.86,11.24,2.09
Udyr,Fighter,JUNGLE,1,52.54,80.53,6.18,19.75,2.72
Udyr,Fighter,TOP,3,51.87,16.84,1.29,19.75,1.95
Urgot,Fighter,TOP,2,51.31,93.01,2.67,0.85,1.97
Varus,Marksman,ADC,1,50.18,85.55,11.57,3.82,2.42
Varus,Marksman,MID,4,48.05,11.97,1.59,3.82,2.08
Vayne,Marksman,ADC,4,49.20,81.32,5.79,5.40,2.09
Vayne,Marksman,TOP,4,49.85,15.96,1.09,5.40,1.61
Veigar,Mage,MID,2,49.76,,3.57,2.02,2.29
Veigar,Mage,ADC,5,49.52,12.22,0.49,2.02,2.32
Vel'Koz,Mage,MID,3,50.71,35.12,1.06,0.51,
Vel'Koz,Mage,SUPPORT,3,51.43,60.37,2.04,0.51,2.25
Vex,Mage,MID,1,51.27,94.12,4.79,6.57,2.47
Vi,Fighter,JUNGLE,1,51.82,96.07,5.96,,2.58
Viego,Assassin,JUNGLE,2,48.24,92.19,7.25,2.71,2.41
Viktor,Mage,MID,1,51.10,95.85,5.76,2.89,2.32
Vladimir,,MID,2,49.94,77.40,4.07,4.68,2.41
Vladimir,,TOP,4,48.59,20.74,1.05,4.68,2.04
Volibear,Fighter,JUNGLE,4,50.26,45.29,1.74,0.95,2.67
Volibear,Fighter,TOP,4,48.32,50.91,1.81,0.95,
Warwick,Fighter,JUNGLE,2,49.82,57.49,4.77,7.12,2.21
Warwick,Fighter,TOP,2,51.36,40.01,2.51,,1.84
Wukong,Fighter,JUNGLE,1,51.41,77.35,5.62,2.71,2.8
Wukong,Fighter,TOP,3,51.42,18.79,1.31,,2.13
Xayah,Marksman,ADC,2,51.81,98.64,8.54,1.24,2.51
Xerath,Mage,SUPPORT,2,51.54,69.16,3.72,3.11,2.63
Xerath,Mage,MID,3,,27.42,1.36,3.11,3.3
Xin Zhao,Fighter,JUNGLE,3,51.03,88.20,2.15,0.28,
Yasuo,Fighter,MID,0,49.44,72.19,11.73,19.86,1.75
Yasuo,Fighter,TOP,3,47.93,16.65,2.60,19.86,1.49
Yasuo,Fighter,ADC,5,50.20,10.02,1.46,19.86,2.0
Yone,Assassin,MID,0,50.42,63.80,8.52,10.53,1.94
Yone,Assassin,TOP,2,48.25,33.51,4.34,10.53,1.63
Yorick,Fighter,TOP,3,51.01,89.94,3.02,2.71,1.56
Yuumi,Support,SUPPORT,1,44.44,98.81,7.96,19.86,3.88
Zac,Tank,JUNGLE,0,52.12,69.42,6.49,14.77,3.53
Zac,Tank,TOP,2,53.24,13.56,1.29,14.77,2.73
Zed,Assassin,MID,0,48.68,77.39,10.00,36.90,2.22
Zed,Assassin,JUNGLE,5,44.36,18.28,2.27,,2.31
Zeri,Marksman,ADC,3,49.84,95.18,6.55,2.45,2.49
Ziggs,Mage,MID,3,50.44,56.28,1.40,0.23,2.51
Ziggs,Mage,ADC,5,51.96,32.03,0.74,0.23,2.6
Ziggs,Mage,SUPPORT,5,47.47,12.02,0.32,0.27,2.04
Zilean,Support,MID,2,53.33,15.52,0.49,1.40,3.59
Zilean,Support,SUPPORT,2,50.95,79.72,2.67,1.40,3.11
Zoe,Mage,MID,2,49.14,87.85,3.45,1.45,2.6
Zoe,Mage,SUPPORT,5,47.73,10.03,0.37,1.45,2.14
Zyra,Mage,SUPPORT,2,51.13,91.23,3.67,1.94,2.19
Aatrox,Fighter,TOP,2,48.17,92.75,5.14,6.60,1.85
Ahri,Mage,MID,1,49.89,90.41,9.01,2.54,2.61
Akali,Assassin,MID,2,,71.88,6.91,11.01,2.36
Akali,Assassin,TOP,4,45.95,27.15,2.54,11.01,1.99
Akshan,Marksman,MID,2,51.67,65.15,2.48,3.47,2.27
Akshan,Marksman,TOP,3,51.37,26.04,0.99,3.47,1.99
Alistar,Tank,SUPPORT,3,49.50,81.58,3.70,0.88,2.44
Alistar,Tank,TOP,5,42.53,11.93,0.52,0.88,
Amumu,Tank,JUNGLE,1,51.97,58.91,5.16,8.03,2.69
Amumu,Tank,SUPPORT,2,51.87,40.21,3.07,8.03,2.11
Anivia,Mage,MID,1,52.19,,3.25,4.63,3.01
Anivia,Mage,SUPPORT,5,48.73,10.48,0.34,,2.25
Annie,Mage,SUPPORT,0,55.49,49.57,6.79,17.44,2.74
Annie,Mage,MID,1,54.29,47.01,5.94,17.44,2.59
Aphelios,Marksman,,5,47.68,96.53,3.58,0.51,1.93
Ashe,Marksman,SUPPORT,0,50.20,67.11,,14.61,2.39
Ashe,Marksman,ADC,3,50.14,30.90,5.56,14.61,
Aurelion Sol,Mage,MID,0,51.16,81.74,21.06,51.38,2.54
Azir,Mage,MID,4,45.04,91.12,2.53,0.52,2.04
Bard,Support,SUPPORT,3,48.62,96.75,2.55,0.35,2.86
Bel'Veth,Fighter,JUNGLE,3,49.51,91.01,3.50,6.09,2.3
Blitzcrank,Tank,SUPPORT,1,51.31,97.26,7.15,17.05,2.43
Brand,Mage,SUPPORT,3,50.24,75.71,3.05,3.60,1.81
Brand,Mage,MID,4,49.44,16.79,0.56,3.60,2.0
Braum,Support,,2,51.63,98.65,2.42,0.33,2.83
Caitlyn,Marksman,ADC,0,49.91,93.92,21.58,21.06,2.28
Camille,Fighter,TOP,1,50.48,94.28,5.35,2.34,1.96
Cassiopeia,Mage,MID,2,,78.79,2.40,1.68,2.29
Cassiopeia,Mage,TOP,4,51.14,12.72,0.45,1.68,1.95
Cho'Gath,Tank,MID,3,49.41,19.04,0.44,0.57,2.38
Cho'Gath,Tank,TOP,4,48.33,68.80,1.88,0.57,2.03
Corki,Marksman,MID,3,48.74,88.43,0.86,0.13,2.27
Darius,Fighter,TOP,0,49.37,94.70,9.05,21.28,1.83
Diana,Fighter,JUNGLE,1,50.77,70.05,5.13,3.68,2.5
Diana,Fighter,MID,3,50.74,27.67,2.06,3.68,2.16
Dr. Mundo,Marksman,TOP,2,52.49,87.61,2.84,3.91,1.91
Draven,Fighter,ADC,2,49.66,95.91,7.17,21.51,2.11
Ekko,Assassin,JUNGLE,1,50.36,71.73,6.42,5.39,2.72
Ekko,Assassin,MID,3,49.83,25.68,2.29,5.39,2.33
Elise,Mage,JUNGLE,0,51.81,97.35,6.64,18.79,2.82
Evelynn,Assassin,JUNGLE,2,49.82,97.42,4.23,7.45,2.91
Ezreal,Marksman,ADC,0,48.74,94.82,18.04,3.24,2.4
Fiddlesticks,Mage,JUNGLE,3,50.34,81.98,3.45,2.81,2.72
Fiddlesticks,Mage,SUPPORT,5,48.11,12.41,0.35,2.81,
Fiora,Fighter,TOP,0,50.66,97.55,6.71,16.02,1.72
Fizz,Assassin,MID,2,49.91,94.27,2.96,3.31,2.44
Galio,Tank,MID,2,49.93,79.98,1.94,0.31,2.68
Galio,Tank,SUPPORT,4,50.60,16.66,0.37,0.32,2.31
Gangplank,Fighter,TOP,0,50.29,81.13,8.91,13.15,1.96
Gangplank,Fighter,MID,3,49.87,17.60,2.08,13.15,2.17
Garen,Fighter,TOP,1,49.46,87.66,5.27,1.66,2.03
Gnar,Fighter,TOP,3,48.48,96.69,3.27,0.44,
Gragas,Fighter,JUNGLE,2,51.01,49.64,3.23,1.24,2.95
Gragas,Fighter,TOP,3,48.71,36.23,2.48,1.24,2.16
Graves,,JUNGLE,3,47.18,88.28,5.08,2.04,2.52
Gwen,Fighter,TOP,3,50.28,89.66,2.79,0.80,1.77
Hecarim,Fighter,,3,,98.97,4.43,4.82,2.59
